CDB_ID,Nome,Endereço
53,BAR DO BARTOLOMEU,"RUA ARTHUR LUCCHESI, 356, SANTA HELENA, BELO HORIZONTE, MG, BRASIL"
54,BAR E RESTAURANTE DO JOÃOZINHO,"RUA PINHEIRO CHAGAS, 295, BARREIRO, BELO HORIZONTE, MG, BRASIL"
55,ESPETINHO DO BOI,"RUA SAO PAULO DA CRUZ, 357, BARREIRO, BELO HORIZONTE, MG, BRASIL"
56,GOLDEN GRILL,"RUA AMILCAR CABRAL, 515, MILIONARIOS, BELO HORIZONTE, MG, BRASIL"
57,JÁ TO INNO,"RUA BENJAMIM DIAS, 379, BARREIRO, BELO HORIZONTE, MG, BRASIL"
58,LEO DA QUADRA,"RUA OLIVEIRA LISBOA, 107, BARREIRO, BELO HORIZONTE, MG, BRASIL"
59,ALEXANDRE'S BAR,"RUA DAVID ALVES DO VALE, 68, SANTA ROSA, BELO HORIZONTE, MG, BRASIL"
60,ARMAZÉM SANTA AMÉLIA,"AVENIDA DA SINFONIA, 253, SANTA AMELIA, BELO HORIZONTE, MG, BRASIL"
61,BAR POMPÉU,"RUA SAO MIGUEL, 779, ITAPOA, BELO HORIZONTE, MG, BRASIL"
62,BARRIGUDINHA BUTECO,"AVENIDA DOS ENGENHEIROS, 1071, ALIPIO DE MELO, BELO HORIZONTE, MG, BRASIL"
63,BAZIN BAR,"RUA MINISTRO OROZIMBO NONATO, 1053, DONA CLARA, BELO HORIZONTE, MG, BRASIL"
64,BUTECO DO LILI,"RUA LIBERO BADARO, 493, SANTA ROSA, BELO HORIZONTE, MG, BRASIL"
65,BUTECO DO ROD,"RUA JOSE MOURA PECANHA, 12, OURO PRETO, BELO HORIZONTE, MG, BRASIL"
66,BUTECO TÔ D'BOA,"RUA VIRGILIO DE MELO FRANCO, 400, SANTA AMELIA, BELO HORIZONTE, MG, BRASIL"
67,BUTIQUIM ON CÊ TÁ?,"AVENIDA GENERAL OLIMPIO MOURAO FILHO, 754, ITAPOA, BELO HORIZONTE, MG, BRASIL"
68,JUZÉ BAR,"RUA CARLOS SA, 180, SANTA AMELIA, BELO HORIZONTE, MG, BRASIL"
69,MAGNIFICO QUINTAL,"RUA DOUTOR JEFFERSON DE OLIVEIRA, 56, SANTA AMELIA, BELO HORIZONTE, MG, BRASIL"
70,MAGRELO'S BAR,"AVENIDA SERRANA, 635, SERRANO, BELO HORIZONTE, MG, BRASIL"
71,PARADA 10.95 BAR,"AVENIDA DOS ENGENHEIROS, 1095, ALIPIO DE MELO, BELO HORIZONTE, MG, BRASIL"
72,PLANETA LÚPULO,"AVENIDA GUARAPARI, 110, SANTA AMELIA, BELO HORIZONTE, MG, BRASIL"
73,RANCHO DO MANOEL,"RUA IZABEL BUENO, 1100, SANTA ROSA, BELO HORIZONTE, MG, BRASIL"
74,REI DO PEIXE,"RUA RAMALHO ORTIGAO, 685, SANTA BRANCA, BELO HORIZONTE, MG, BRASIL"
75,SEU BRAZ,"AVENIDA PORTUGAL, 4325, ITAPOA, BELO HORIZONTE, MG, BRASIL"
76,SÔ BAR,"AVENIDA ALTAMIRO AVELINO SOARES, 426, CASTELO, BELO HORIZONTE, MG, BRASIL"
77,TOCA DO OGRO,"RUA PROFESSOR NELSON DE SENA, 4, AEROPORTO, BELO HORIZONTE, MG, BRASIL"
78,XICO DO CHURRASCO,"AVENIDA ALTAMIRO AVELINO SOARES, 920, CASTELO, BELO HORIZONTE, MG, BRASIL"
79,BAR STELLA,"AVENIDA SARAMENHA, 1605, TUPI B, BELO HORIZONTE, MG, BRASIL"
80,CHAPA MÁGICA,"RUA WALDOMIRO LOBO, 305, AARAO REIS, BELO HORIZONTE, MG, BRASIL"
81,FOGÃO DE MINAS,"AVENIDA DOUTOR CRISTIANO GUIMARAES, 1911, PLANALTO, BELO HORIZONTE, MG, BRASIL"
82,GARAGGE VINTAGE,"AVENIDA DOUTOR CRISTIANO GUIMARAES, 1258, PLANALTO, BELO HORIZONTE, MG, BRASIL"
83,IVO GRILL,"RUA PROFESSOR TRISTAO DA CUNHA, 183, PLANALTO, BELO HORIZONTE, MG, BRASIL"
84,LÁ ELE BAR,"AVENIDA GENERAL CARLOS GUEDES, 165, PLANALTO, BELO HORIZONTE, MG, BRASIL"
85,PROSA BOA,"AVENIDA DOUTOR CRISTIANO GUIMARAES, 1480, PLANALTO, BELO HORIZONTE, MG, BRASIL"
86,ZÉ BOLACHA,"RUA DAS MELANCIAS, 35, VILA CLORIS, BELO HORIZONTE, MG, BRASIL"
87,BAR BENDITA BADERNA,"RUA SILVA FORTES, 47, UNIAO, BELO HORIZONTE, MG, BRASIL"
88,CAMISOLA BAR,"RUA LUTHER KING, 242, CIDADE NOVA, BELO HORIZONTE, MG, BRASIL"
89,DONA JU GASTRO BAR,"RUA DOS BORGES, 1520, JARDIM VITORIA, BELO HORIZONTE, MG, BRASIL"
90,RESENHA DA NATY,"RUA GONCALVES LEDO, 288, CACHOEIRINHA, BELO HORIZONTE, MG, BRASIL"
91,SPETIM,"RUA ILACIR PEREIRA LIMA, 518, SILVEIRA, BELO HORIZONTE, MG, BRASIL"
92,AVALANCHE ESPETERIA,"RUA DOUTOR ALVARO CAMARGOS, 1113, SAO JOAO BATISTA, BELO HORIZONTE, MG, BRASIL"
93,BAR DA CINTIA,"RUA PASTOR RUI FRANCO, 257, SAO JOAO BATISTA, BELO HORIZONTE, MG, BRASIL"
94,BAR DA FIA,"RUA DOS ASTECAS, 2722, SANTA MONICA, BELO HORIZONTE, MG, BRASIL"
95,DONA SUICA,"RUA JOAO SAMAHA, 390, SAO JOAO BATISTA, BELO HORIZONTE, MG, BRASIL"
96,NOSSO SPETIM,"RUA DOS ASTECAS, 3219, SANTA MONICA, BELO HORIZONTE, MG, BRASIL"
97,O FINO DO ALHO,"RUA CAPITAO SERGIO PIRES, 133, MINASCAIXA, BELO HORIZONTE, MG, BRASIL"
98,RECANTO VOVÓ TELA,"RUA TENENTE MARINO FREIRE, 270, MARIA HELENA, BELO HORIZONTE, MG, BRASIL"
99,BAR DO BEM,"RUA VICENTINA COUTINHO CAMARGOS, 100, ALVARO CAMARGOS, BELO HORIZONTE, MG, BRASIL"
100,BENJAMIN BAR,"AVENIDA CORONEL JOSE BENJAMIM, 770, PADRE EUSTAQUIO, BELO HORIZONTE, MG, BRASIL"
101,BOTECO 86,"RUA JACARINA, 86, PADRE EUSTAQUIO, BELO HORIZONTE, MG, BRASIL"
102,CANTINA ARTE QUINTAL,"RUA REALENGO, 150, ALTO CAICARAS, BELO HORIZONTE, MG, BRASIL"
103,TANGANICA ART BAR,"RUA PADRE DEMERVAL GOMES, 380, CORACAO EUCARISTICO, BELO HORIZONTE, MG, BRASIL"
104,TONINHO - ALTO FORNO,"RUA MIRACEMA, 100, SANTO ANDRE, BELO HORIZONTE, MG, BRASIL"
105,XICO DA KAFUA,"RODOVIA ANEL RODOVIARIO CELSO MELLO AZEVEDO, 1195, JOAO PINHEIRO, BELO HORIZONTE, MG, BRASIL"
106,CANTINHO DA BAIANA,"AVENIDA ITAITE, 422, SÃO GERALDO, BELO HORIZONTE, MG, BRASIL"
107,MINEIROS BEER,"RUA ROMUALDO LOPES CANCADO, 399, CASTELO, BELO HORIZONTE, MG, BRASIL"
108,ZOO BAR,"AVENIDA OTACILIO NEGRAO DE LIMA, 7844, PAMPULHA, BELO HORIZONTE, MG, BRASIL"
109,PARADA DO SABOR,"AVENIDA GENERAL CARLOS GUEDES, 346, PLANALTO, BELO HORIZONTE, MG, BRASIL"
110,BAR DA LU,"RUA GERALDA MARINHO, 41, SÃO JOÃO BATISTA, BELO HORIZONTE, MG, BRASIL"
111,MAMUTE BAR,"RUA BRAS CUBAS, 116, CRUZEIRO, BELO HORIZONTE, MG, BRASIL"
112,CHOPERIA AMÉRICA NORTE SUL,"RUA CHICO REI, 190, ESTRELA DO ORIENTE, BELO HORIZONTE, MG, BRASIL"
113,CONECTADOS BAR,"AVENIDA FRANCISCO SA, 280, PRADO, BELO HORIZONTE, MG, BRASIL"
114,S.O.S PUB,"AVENIDA PADRE JOSE MAURICIO, 1126, VISTA ALEGRE, BELO HORIZONTE, MG, BRASIL"
115,KÖBES EMPORIUM BAR,"RUA PROFESSOR RAIMUNDO NONATO, 31, SANTA TEREZA, BELO HORIZONTE, MG, BRASIL"
116,BUTECO'S BAR,"RUA ERNESTO BRAGA, 2, JARDIM ATLANTICO, BELO HORIZONTE, MG, BRASIL"
117,DECK BOI NA BRASA,"RUA DESEMBARGADOR JOSÉ SATYRO, 302, MANACAS, BELO HORIZONTE, MG, BRASIL"
118,BAR DO ROMEU,"RUA ANIRY, 8, GUARANI, BELO HORIZONTE, MG, BRASIL"
119,COMPANHIA DO DINO,"RUA JOAQUIM CLEMENTE, 682, FLORAMAR, BELO HORIZONTE, MG, BRASIL"
120,ANDRADE'S BEER,"RUA DONA GENI, 32, VENDA NOVA, BELO HORIZONTE, MG, BRASIL"
121,TROPEIRO DO LISBOA,"AVENIDA LEONTINO FRANCISCO ALVES, 506, SERRA VERDE, BELO HORIZONTE, MG, BRASIL"
122,ESPETINHOS DO PAULÃO,"RUA ALVARO MATA, 466, NOVA CACHOEIRINHA, BELO HORIZONTE, MG, BRASIL"
123,MULÃO,"RUA MARAMBAIA, 291, CAICARAS, BELO HORIZONTE, MG, BRASIL"
124,SANTUÁRIO RETRÔ,"RUA CAPELA NOVA, 150, MINAS BRASIL, BELO HORIZONTE, MG, BRASIL"
125,THE BUTCHER,"AVENIDA RESSACA, 353, CORACAO EUCARISTICO, BELO HORIZONTE, MG, BRASIL"
