"Nome","Imagem","Petisco","Descrição do petisco","Endereço"
"Bar dos Meninos","https://s2-g1.glbimg.com/UKIJMtUtnuPK4fj2w0SuXcIjFvk=/0x0:3500x2333/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/A/3/UMZKAPSrKx45QAHarWGQ/bardosmeninos-bodasdeprata-bh-2025-rodneycosta-unibh-8218.jpg","Bodas de prata","Costelinha suína, marinada em vinho tinto servida com mostarda em folhas, acompanhada de creme de batata.","RUA LINDOLFO DEODORO, 503, SALGADO FILHO, BELO HORIZONTE, MG, BRASIL"
"Bar Junto Juntinho","https://s2-g1.glbimg.com/Woon-PL_OEZSTAa74c5VFkQykeY=/0x0:3500x2333/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/E/S/SpB1LBRz2AJN9qaukMEA/barjuntojuntinho-poliamorculinario-bh-2025-rodneycosta-unibh-1725-1-.jpg","POLIAMOR CULINÁRIO","Costelinha de porco combinada com um purê de mandioca feito com manteiga de garrafa e queijo parmesão, acompanhado de couve couve crispe e geleia de abacaxi apimentada.","RUA CURA D'ARS, 542, PRADO, BELO HORIZONTE, MG, BRASIL"
"Barzin dos amigos","https://s2-g1.glbimg.com/rHsSCU85eg8-jxL3Nl_CO8sjoDY=/0x0:3500x2333/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/0/O/xOLYXWSRaE0bYdusAuQg/bardosamigos-porpetadebuteco-bh-2025-isaquerodrigues-unibh-7775.jpg","Porpeta de Buteco","Almôndegas ao sugo com batata recheada.","RUA LINDOLFO DE AZEVEDO, 1263, JARDIM AMERICA, BELO HORIZONTE, MG, BRASIL"
"Boogie Oogie","https://s2-g1.glbimg.com/Lgp1559xLz-uyEV72hpZdFuey6w=/0x0:3500x2333/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/s/0/8ANFdfRIi7oVHXQG2BFw/booguieoogie-brancodeneveeseteanoes-bh-2025-isaquerodrigues-unibh-9371.jpg","Branca de Neve e os Sete Anões","ESPETINHOS VARIADOS, FAROFA DE CEBOLA DA CASA ACOMPANHADO DE MOLHO CAMPANHA DE MAÇÃ DA BRUXA LEVEMENTE APIMENTADO.","RUA SANTOS, 264, JARDIM AMERICA, BELO HORIZONTE, MG, BRASIL"
"Botequim Buritis","https://s2-g1.glbimg.com/I4IKqkM4tVP1NgouGsr5fD0CB08=/0x0:3500x2333/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/F/s/V4KPPTSz2KNB3tBiXPAw/botequimburitis-butequeiro-bh-2025-isaquerodrigues-unibh-7665.jpg","Butequeiro 25","Lombinho suíno na lata acompanhado de mandioquinha frita ao molho cremoso raiz","RUA VITORIO MAGNAVACCA, 39, BURITIS, BELO HORIZONTE, MG, BRASIL"
"Canela Amarela","https://s2-g1.glbimg.com/-qsWY4DfS3EDoi1og3D1TJ5sDyU=/0x0:3500x2333/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/B/6/njOWouQ6WxMvM9UjvMdw/canelaamarela-bolanarede-bh-2025-isaquerodrigues-unibh-9287.jpg","Bola Na Rede","Almôndegas bovinas sobre a cama de creme de queijos acompanhada de torradas de pão de alho e finalizada com tomatinho e manjericão. Acompanha molho da casa.","PRAÇA LEONARDO GUTIERREZ, 195, GUTIERREZ, BELO HORIZONTE, MG, BRASIL"
"Cervejaria Pajé","https://s2-g1.glbimg.com/vqLhgeL6sDpgWVzAPszLujmwUDQ=/0x0:3500x2333/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/4/B/fQTuA9Q1CvBTIBWVxQwg/cervejariapaje-xukurukariri-bh-2025-mylenaizis-unibh-8027.jpg","XUKURU KARIRI","Amassado de mandioca amarela, temperada e recheada com bacon e queijo, acompanhado de calda de abacaxi ?smooth Cayenne? e molho ""Buffalo"" picante.","RUA CAPIM BRANCO, 419, VISTA ALEGRE, BELO HORIZONTE, MG, BRASIL"
"Choperia América Norte Sul","https://s2-g1.glbimg.com/s-Ayu8OI7tZmDTwPjHWlZi_AeRA=/0x0:3500x2333/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/i/e/QB6MeNRuOthnexC2vYjA/americanortesul-tiragostoescondido-bh-2025-rodneycosta-unibh-7408.jpg","Tira gosto escondido","Pastel recheado com carne bovina defumada e desfiada, muçarela, palmito, cebola, azeitona, requeijão. Acompanha molho da casa e salada de agrião e tomate.","RUA CHICO REI, 190, ESTRELA DO ORIENTE, BELO HORIZONTE, MG, BRASIL"
"Chopp da Esquina","https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19152143/choppdaesquina_roledochopp_bh_2025_isaquerodrigues_unibh-8826-scaled.jpg","Rolê do Chopp","Bife a rolê, acompanha farofa de torresmo","RUA GARRET, 263, NOVA GRANADA, BELO HORIZONTE, MG, BRASIL"
"Conectados Bar","https://s2-g1.glbimg.com/RylSbln5FRzRh9ThOFdQEOw78EE=/0x0:3500x2333/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/q/5/bUu3hdTpmD0rdAc98gmg/conectadosbar-ajoelhouvaiterquerezar-bh-2025-amandacantanhede-unibh-8227.jpg","Ajoelhou, vai ter que rezar!","Cozido de joelho de porco e pernil com especiarias, servido sobre creme de mandioca ao alho, acompanhado de farofa de milho amanteigado e banana-da-terra","AVENIDA FRANCISCO SA, 280, PRADO, BELO HORIZONTE, MG, BRASIL"
"Espettinho.com","https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19153114/espettinhocom_mineirimgratinado_bh_2025_rodneycosta_unibh-9129-1536x1024.jpg","MINEIRINHO GRATINADO 2.5","Almôndegas suínas gratinadas com molho de tomate caseiro e mussarela. Acompanha 1 Espetinho de ""Sacanagem"" e um licor de doce de leite de entrada.","RUA ELI SEABRA FILHO, 510, BURITIS, BELO HORIZONTE, MG, BRASIL"
"Geraldin da Cida","https://s2-g1.glbimg.com/mjTXAnmEmOh-_e3ONTeaMLR0sOU=/0x0:3500x2333/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/Q/l/jpUiATQoi0YzBxERXRXw/geraldimdacida-soumineirouai-bh-2025-rodneycosta-unibh-8364.jpg","Sô mineiro, uai!","Alcatra com farofa de jilo com bacon. Acompanha uma sobremesa de doce de leite com castanha e bacon.","RUA CONTRIA, 1459, GRAJAU, BELO HORIZONTE, MG, BRASIL"
"Pé de Goiaba","https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15044957/pedegoiaba_bodasdeprata_bh_2025_isaquerodrigues_unibh-8633-scaled.jpg","Bordas de Prata - 25 ANOS JUNTOS","Lombo com queijo ao molho de abacaxi picante, farofa de bacon, torresminho a pururuca e couve","AVENIDA AMAZONAS, 4676, NOVA SUISSA, BELO HORIZONTE, MG, BRASIL"
"Prado Beer","https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19160250/pradobeer_amontadinho_bh_2025_isaquerodrigues_unibh-8981-scaled.jpg","Amontadinho","Angu com carne de panela, chips de jiló e molho a base de milho e cachaça","AVENIDA FRANCISCO SA, 590, PRADO, BELO HORIZONTE, MG, BRASIL"
"Quioxque Botequim Carioca","https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19170333/quioxque_estamosdeparabens_bh_2025_isaquerodrigues_unibh-7820-scaled.jpg","ESTAMOS DE PARABÉNS","BOLO DE MANDIOCA COM CARNE SECA COM COBERTURA DE CEBOLA CARAMELIZADA E FONDUTA DE QUEIJO, SERVIDO COM PELINHA DE COSTELINHA COM TOQUE DE LIMAO","RUA HENRIQUE BADARO PORTUGAL, 157, BURITIS, BELO HORIZONTE, MG, BRASIL"
"S.O.S PUB","https://s2-g1.glbimg.com/W74Fo3vMPGpRcAk8jTSBcNkMlSU=/0x0:3500x2333/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/t/w/4tp1rXTAaBM6758Rvgyg/sospub-socorrodomineiro-bh-2025-amandacantanhede-unibh-8010.jpg","Socorro do Mineiro","Enroladinho de sururu com batata, enroladinho de lombo de porco com abacaxi cozido, enroladinho de feijoada e um mini empadão de frango e pernil com linguiça molhadinho. Todos acompanhados pelo molho especial da casa.","AVENIDA PADRE JOSE MAURICIO, 1126, VISTA ALEGRE, BELO HORIZONTE, MG, BRASIL"
"Us Motoca","https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15044259/usmotoca_bodasdeprata_bh_2025_mylenaizis_unibh-9157-scaled.jpg","Bodas de Prata","Polpetas de carne recheadas com queijo servido sobre aligot de batata e molho de tomates rustico, gratinado e guarnecido de crispy de jilo e pickles de cebola rocha.","RUA BLENDA, 91, CAMARGOS, BELO HORIZONTE, MG, BRASIL"
"Bar do Nelson","https://s2-g1.glbimg.com/xOoZoKRrKnEHiupBdo0r3VB0WL8=/0x0:3500x2333/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/w/9/DD84CfRTiAfsTlSXjmgA/bardonelson-bolinhodeprata-bh-2025-amandacantanhede-unibh-9036.jpg","Boudas de Prata","Bolinho de feijoada","RUA VICENTE RISOLA, 1000, SANTA INES, BELO HORIZONTE, MG, BRASIL"
"Bar Du Du","https://comidadibuteco.com.br/wp-content/uploads/2022/03/Bar-du-Du_Moela-do-Papai_Pocos-de-Caldas_2023_Dreison-Medeiros-scaled.jpg","Porco sem vergonha","Picadinho de carne de porco ao molho acompanhado de um creme de batata","RUA VIOLETA, 369, ESPLANADA, BELO HORIZONTE, MG, BRASIL"
