"Nome","Imagem","Petisco","Descrição do petisco","Endereço"
"Bar do Bartolomeu","https://s2-g1.glbimg.com/UY3duScf7xPGl5ujAQRP6cOf_eE=/0x0:3500x2333/1000x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/J/P/asYaFLRcA0sFNkfLZSqA/bardobartolomeu-bembolado-bh-2025-fernandaoliveira-unibh-8039.jpg","Bem Bolado, Uai!!","Bolinho de rabada com catupiry e alho poró. Acompanhado com molho da casa e molho geleia de pimenta.","RUA ARTHUR LUCCHESI, 356, SANTA HELENA, BELO HORIZONTE, MG, BRASIL"
"Bar e Restaurante do Joãozinho","https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/24070652/bardojoaozinho_triomineiro_bh_2025_rodneycosta_unibh-7419-scaled.jpg","Trio Mineiro","Quarteto: carne de lata bovina frita, torresmo pururuca, queijo temperado a moda da casa, molho de alho poró.","RUA PINHEIRO CHAGAS, 295, BARREIRO, BELO HORIZONTE, MG, BRASIL"
"Espetinho do Boi","https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19152726/espetinhodoboi_brigadeirodoboi_bh_2025_rodneycosta_unibh-8501-scaled.jpg","Brigadeiro do Boi","Almondega selada no forno com cobertura de queijo e salpicada com torresmo ao molho especial.","RUA SAO PAULO DA CRUZ, 357, BARREIRO, BELO HORIZONTE, MG, BRASIL"
"Golden Grill","https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15045801/goldengrill_costelaodosdeuses_bh_2025_rodneycosta_unibh-8167-scaled.jpg","Costelão dos Deuses","Costelão de boi marinado em ervas finas acompanhado de purê de mandioca aligot , Farofa crocante e molho agridoce especial.","RUA AMILCAR CABRAL, 515, MILIONARIOS, BELO HORIZONTE, MG, BRASIL"
"Já To Inno","https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15045650/jatoinno_moderacao_bh_2025_fernandaoliveira_unibh-8097-scaled.jpg","Moderação","Kafta de lata, acompanhada de caponata de tomate com bacon e linguiça regados com angu a moda da casa gratinado com queijo.","RUA BENJAMIM DIAS, 379, BARREIRO, BELO HORIZONTE, MG, BRASIL"
"Leo da Quadra","https://s2-g1.glbimg.com/2wxjwT3B8DMyFkqO9V9nGC3MqU8=/0x0:3500x2333/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/B/L/e4w98WTQudCUzTp6AvyQ/leodaquadra-lembeosbeicos-bh-2025-rodneycosta-unibh-7632.jpg","Lembe os beiço","Bisteca bovina acompanhando de pirão e torradas","RUA OLIVEIRA LISBOA, 107, BARREIRO, BELO HORIZONTE, MG, BRASIL"
"Alexandre's Bar","https://s2-g1.glbimg.com/w6xgTZb45ExVKcLoRAFIaPl2iwA=/0x0:3500x2333/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/T/o/nXdbyMTvuav3ZpGEAotA/alexandresbar-fabulosodiscao-bh-2025-isaquerodrigues-unibh-8111.jpg","O fabuloso discão","Polpetone com recheio de muçarela acompanhada com caponata de berinjela e abobrinha.","RUA DAVID ALVES DO VALE, 68, SANTA ROSA, BELO HORIZONTE, MG, BRASIL"
"Armazém Santa Amélia","https://s2-g1.glbimg.com/z23BBsunx09X3iGDgJq31t80KMQ=/0x0:3500x2333/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/n/7/ER0aMGSpW0AbDTBPLYfw/armazemsantaamelia-segredodoarmazem-bh-2025-isaquerodrigues-unibh-7616.jpg","Segredo do Armázem","Polenta cremosa com ragu de carnes cheio de sabor, agrião fresco, crispy de parmesão e um toque secreto para abrilhantar as Bodas de Prata do Comida di Buteco.","AVENIDA DA SINFONIA, 253, SANTA AMELIA, BELO HORIZONTE, MG, BRASIL"
"Bar Pompéu","https://s2-g1.glbimg.com/i9d0IktNxvSj5wWM2VzyOnKMlM0=/0x0:3500x2333/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/M/V/gRE5PlRgKotlyvT5zgwQ/pompeu-emasnume-bh-2025-rodneycosta-unibh-8144.jpg","É mas num é","Iscas de filé de frango empanadas no flocos de arroz regado ao molho de alho poró e creem cheese, acompanha batata frita canoa e molho agridoce de goiabada.","RUA SAO MIGUEL, 779, ITAPOA, BELO HORIZONTE, MG, BRASIL"
"Barrigudinha Buteco","https://s2-g1.glbimg.com/R89DusuI6nOE395utBmW780octk=/0x0:3500x2333/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/B/M/MBGNffSb6eDaFPHOcbfQ/barrigudinha-bodasaopradoribaomolhorubi-bh-2025-rodneycosta-unibh-8195.jpg","Bodas no prato: Rib ao molho Rubi","Costelinha de porco ao molho rubi","AVENIDA DOS ENGENHEIROS, 1071, ALIPIO DE MELO, BELO HORIZONTE, MG, BRASIL"
"Bazin Bar","https://s2-g1.glbimg.com/cSLBEE4q2YpYRs5pdwTXvrG7dGA=/0x0:3500x2333/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/u/h/wAfwYRSBqXnCppeH9NWQ/bazim-bodasdeprata-bh-2025-rodneycosta-unibh-8388.jpg","Bodas de Prata","CARNE DE PANELA ACOMPANHADA DE ANGU E ORA-PRO-NÓBIS","RUA MINISTRO OROZIMBO NONATO, 1053, DONA CLARA, BELO HORIZONTE, MG, BRASIL"
"Buteco do Lili","https://s2-g1.glbimg.com/tBXpjB3M7A1jnlz47UaR1eXpK78=/0x0:3500x2333/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/z/X/XOq7tDQ8yhBLjzFj9d8g/butecodolili-saboresdeprata-bh-2025-rodneycosta-unibh-8489.jpg","Sabores de Prata","Fraldinha de panela ao molho Roti acompanhado de batata ao murro e pães de queijo fritos","RUA LIBERO BADARO, 493, SANTA ROSA, BELO HORIZONTE, MG, BRASIL"
"Buteco do Rod","https://s2-g1.glbimg.com/rcheDAo435TFrOxcL1aBQU9wUI8=/0x0:3500x2333/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/u/A/G2V1wEQJanSxRNgv5OIg/butecodorod-caneladebutequeiro-bh-2025-isaquerodrigues-unibh-8863.jpg","Canela di Butequêro","Cambito suíno ao molho de cerveja preta acima de uma polenta temperada com páprica defumada e espinafre, acompanhado de farofa panko com bacon, finalizados com queijo gouda derretidinho.","RUA JOSE MOURA PECANHA, 12, OURO PRETO, BELO HORIZONTE, MG, BRASIL"
"Buteco Tô D'Boa","https://s2-g1.glbimg.com/g9BbVrEl3_G4hnffVbKT5NkUvWI=/0x0:3500x2333/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/p/5/78e76aRRi5fyp7EUBvNg/butecotodeboa-paletasuinamineira-bh-2025-isaquerodrigues-unibh-7945.jpg","Paleta Suína Mineira","Paleta suína marinada com molho especial e cerveja preta,acompanhada de farofa de bacon crocante, banana da terra caramelizada e finalizada com cheiro verde.","RUA VIRGILIO DE MELO FRANCO, 400, SANTA AMELIA, BELO HORIZONTE, MG, BRASIL"
"Buteco's Bar","https://s2-g1.glbimg.com/_by_EA0HlWNRgrgcsr3ahRRaSqQ=/0x0:3500x2333/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/R/P/xrIONDRyAGW4VVlfeUCg/butecosbar-nuhrachouminhacostela-bh-2025-rodneycosta-unibh-8662.jpg","Nuuuu...quebrou minha costelinha!","Porpeta de costelinha com bacon assada, recheada com queijo minas, regada ao molho roti, em cama de canjiquinha acompanhada de quiabo e molho pesto de couve e coentro.","RUA ERNESTO BRAGA, 2, JARDIM ATLANTICO, BELO HORIZONTE, MG, BRASIL"
"Butiquim On Cê Tá?","https://s2-g1.glbimg.com/cb_i9ci7M68mFxRzy3rUzZS6Aew=/0x0:3500x2333/1000x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/C/u/9UNNRTQoi97ClUir8Qiw/butequimonceta-almodegadamammatereza-bh-2025-isaquerodrigues-unibh-9021.jpg","Almondega da Mamma Tereza","Almôndega ao molho de tomate, recheada com queijo. Acompanha rodelas de pão francês.","AVENIDA GENERAL OLIMPIO MOURAO FILHO, 754, ITAPOA, BELO HORIZONTE, MG, BRASIL"
"Deck Boi na Brasa","https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19152342/deckboinabrasa_tulipadochefe_bh_2025_isaquerodrigues_unibh-9360-1536x1024.jpg","Tulipa do Cheff","Tulipas Frango assadas na brasa, envolvidas em um molho agridoce da casa com um toque de goiabada, servidas com mini Batatas Rústica e Mini Banana da terra fritas regado ao molho de ervas.","RUA DESEMBARGADOR JOSÉ SATYRO, 302, MANACAS, BELO HORIZONTE, MG, BRASIL"
"Juzé Bar","https://s2-g1.glbimg.com/RMzsKAj_lKM1xM8H5PmqbyRfmMc=/0x0:3500x2333/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/c/A/AHASWOSYCRzqbBodFoXg/juze-abacaxedanoburacoquente-bh-2025-isaquerodrigues-unibh-8653.jpg","Macaxeira no buraco quente, com sabor de quero+","Carne cozida desfiada ao molho servida na panhoca acompanhada de macaxeira cozida na manteiga de garrafa ao alho e cebola caramelizada.","RUA CARLOS SA, 180, SANTA AMELIA, BELO HORIZONTE, MG, BRASIL"
"Magnifico Quintal","https://s2-g1.glbimg.com/NG1e1AgBFTDfhpIN6qwkNE0Py64=/0x0:3500x2333/1000x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/g/J/KiCkVHRxC3qprObxEqVQ/magnifcoquinta-cocorico-bh-2025-isaquerodrigues-unibh-7756.jpg","Cocoricó","Frango assado com molho, batata recheada e pepino agridoce.","RUA DOUTOR JEFFERSON DE OLIVEIRA, 56, SANTA AMELIA, BELO HORIZONTE, MG, BRASIL"
"Magrelo's bar","https://s2-g1.glbimg.com/dNgbFhVIwkOheBPp0EwrZjF2J5g=/0x0:3500x2333/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/1/B/lhD5fmSjuHHCBldyVC4A/magrelos-amigosdopeito-bh-2025-isaquerodrigues-unibh-9303.jpg","Amigos do Peito","Maçã de peito marinada em vinho tinto com ervas aromáticas, servido com polenta cremosa gratinada com queijo canastra e bolinhos de aipim, acompanhados de aioli de rúcula fresco.","AVENIDA SERRANA, 635, SERRANO, BELO HORIZONTE, MG, BRASIL"
"Mineiros Beer","https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19154514/mineirosbeer_costeladeromeu_bh_2025_isaquerodrigues_unibh-8592-1536x1024.jpg","Costela de Romeu e Julieta","Costelinha suína assada lentamente servida com molho de queijo canastra, barbecue de goiabada e farofa torrada.","RUA ROMUALDO LOPES CANCADO, 399, CASTELO, BELO HORIZONTE, MG, BRASIL"
"Parada 10.95 Bar","https://s2-g1.glbimg.com/-71LprOaRkr4WW8UStUr-V7Uddg=/0x0:3500x2333/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/Q/g/6LRMjoSoqgHU3yZRJdKQ/parada1095-bh-2025-amandacantanhede-unibh-8058.jpg","Parada Holandesa","Uma adaptação do tradicional prato belgo-holandês carbonnade flamande. Carne bovina marinada na cerveja e cozida lentamente. Acompanha purê de mandioca e batata crocante.","AVENIDA DOS ENGENHEIROS, 1095, ALIPIO DE MELO, BELO HORIZONTE, MG, BRASIL"
"Planeta Lúpulo","https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19160104/planetalupulo_cestinhadasgerais_bh_2025_isaquerodrigues_unibh-8557-1536x1024.jpg","Cestinha das Gerais","Cestinhas de massa de pastel, recheadas com aligot de batata e queijo, coberta com fraldinha cozida na cerveja. E biscoitos de queijo (da vovó) para acompanhar.","AVENIDA GUARAPARI, 110, SANTA AMELIA, BELO HORIZONTE, MG, BRASIL"
"Rancho do Manoel","https://s2-g1.glbimg.com/ibK_u3USJeiC7dLipgNegTIFkXg=/0x0:3500x2333/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/n/v/QPHUBlQ8eVMAEW9tmeyQ/ranchodomanoel-trembaoso-bh-2025-rodneycosta-unibh-7453.jpg","Trem Bão Sô!","Maçã de peito acompanhada de purê de moranga e farofa da casa.","RUA IZABEL BUENO, 1100, SANTA ROSA, BELO HORIZONTE, MG, BRASIL"
"Rei do Peixe","https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/10074117/oreidopeixe_bolinhobodasdeprata_bh_2025_rodneycosta_unibh-9259-1536x1024.jpg"," Bolinhos Bodas de Prata","Bolinho de Tilápia recheado com Tilápia e queijo, acompanhado com molho verde e geleia de pimenta.","RUA RAMALHO ORTIGAO, 685, SANTA BRANCA, BELO HORIZONTE, MG, BRASIL"
"Seu Braz","https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15044541/seubraz_contrafileflambadonacachaca_bh_2025_isaquerodrigues_unibh-7921-1536x1024.jpg","Contra filet flambado na cachaça","Contra filet flambado na cachaça ao creme acompanhado de mandioca na manteiga de garrafa com queijo gratinado e bacon crocante.","AVENIDA PORTUGAL, 4325, ITAPOA, BELO HORIZONTE, MG, BRASIL"
"Sô Bar","https://s2-g1.glbimg.com/EBMcfqL-rlWoYSfmlXbxu3IxzUE=/0x0:3500x2333/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/8/r/3g5BOlRuGGhGTZgxy0Hg/sobar-somio-bh-2025-rodneycosta-unibh-8449.jpg","Sô Mio","Maçã de peito com batatas cozidas, farofa de torresmo e espetinho de torresmo de barriga com pimenta agridoce.","AVENIDA ALTAMIRO AVELINO SOARES, 426, CASTELO, BELO HORIZONTE, MG, BRASIL"
"Toca do Ogro","https://s2-g1.glbimg.com/XpL5iU_3lbUh-mkIMglzns015r0=/0x0:3500x2333/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/0/e/Zsww6cQOikwACTgXP2bQ/tocadoogro-ripadeprata-bh-2025-rodneycosta-unibh-9147.jpg","Ripa de Prata","Picolé Mineiro - Costelinha suína com pele e osso. Acompanhada de purê de mandioca e crispy de couve.","RUA PROFESSOR NELSON DE SENA, 4, AEROPORTO, BELO HORIZONTE, MG, BRASIL"
"Xico do Churrasco","https://s2-g1.glbimg.com/A6yzBbSKhOA3394Ho6Y-m-mqH3I=/0x0:3500x2333/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/3/i/gdzChfTFCcR9sXGyh8Ew/xicodochurrasco-xicobalaio-bh-2025-isaquerodrigues-unibh-7860.jpg","Xico Balaio","Asinhas de frango com provolone com o tempero.","AVENIDA ALTAMIRO AVELINO SOARES, 920, CASTELO, BELO HORIZONTE, MG, BRASIL"
"Zoo Bar","https://s2-g1.glbimg.com/0zJKQ8lvJDa71FZmBgyYSH0fiu4=/0x0:3500x2333/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/E/Z/LByXj2SXipAoBqScSu9w/zoobar-canjiquinhadavovo-bh-2025-isaquerodrigues-unibh-8303.jpg","Canjiquinha da Vovó","Canjiquinha a moda da vovó, acompanhada de Costelinha de porco e vinagrete de pimenta.","AVENIDA OTACILIO NEGRAO DE LIMA, 7844, PAMPULHA, BELO HORIZONTE, MG, BRASIL"
"Bar do Romeu","https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15050906/bardoromeu_penorabo_bh_2025_rodneycosta_unibh-7542-1536x1024.jpg","Pé no Rabo","Rabada com pé de porco acompanhada de farofa de abacaxi, geleia de pimenta e torradinha","RUA ANIRY, 8, GUARANI, BELO HORIZONTE, MG, BRASIL"
"Bar Stella","https://s2-g1.glbimg.com/BtIMSeb5q2VcHI_Uq-la_mSJNGg=/0x0:3500x2333/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/q/E/hUoI9bSkOgMMuvBiARFw/barstella-boibebum-bh-2025-amandacantanhede-unibh-7586-1-.jpg","Boi bebum","Maçã de peito ao molho de vinho, acompanhado de farofa d'água e mandioca na manteiga de garrafa","AVENIDA SARAMENHA, 1605, TUPI B, BELO HORIZONTE, MG, BRASIL"
"Chapa Mágica","https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19152044/chapamagica_incangadodeihameebancondadonabiu_bh_2025_amandacantanhede_unibh-8830-scaled.jpg","Incangado de inhame com bacon dona Biu","Purê de inhame com bacon","RUA WALDOMIRO LOBO, 305, AARAO REIS, BELO HORIZONTE, MG, BRASIL"
"Companhia do Dino","https://s2-g1.glbimg.com/sgnOZMXraROXWsE3-voD1lI9-NM=/0x0:3500x2333/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/M/N/Ei7NvpQg2nXTb6acK6Bw/companhiadodino-barrigadodino-bh-2025-rodneycosta-unibh-7498.jpg","Barriga do Dino","Barriga frita com geleia de pimenta e mandioca na manteiga de garrafa.","RUA JOAQUIM CLEMENTE, 682, FLORAMAR, BELO HORIZONTE, MG, BRASIL"
"Fogão de Minas","https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19153205/fogaodeminas_tropadeelite_bh_2025_rodneycosta_unibh-8509-scaled.jpg","Tropa de Elite","Petisco de tropeiro","AVENIDA DOUTOR CRISTIANO GUIMARAES, 1911, PLANALTO, BELO HORIZONTE, MG, BRASIL"
"Garagge Vintage","https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19153255/garaggevintage_baotambem_bh_2025_amandacantanhede_unibh-8958-scaled.jpg","Bão Também","Maminha cozida marinada no vinho tinto, servida com molho madeira, acompanhada de purê abóbora moranga com bacon frito triturado e chips massa de lasanha.","AVENIDA DOUTOR CRISTIANO GUIMARAES, 1258, PLANALTO, BELO HORIZONTE, MG, BRASIL"
"Ivo Grill","https://s2-g1.glbimg.com/i_FeOtGPobYIKrbfySWpI_xznN8=/0x0:3500x2333/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/T/l/bgo85gTR2Oz9D8jr6EMw/ivogrill-kafajeste-bh-2025-mylenaizis-unibh-9216.jpg","Kafajeste","Kafta defumada na brasa harmonizada com sour cream, geleia de pimentas vermelhas e cebola em tiras crocantes.","RUA PROFESSOR TRISTAO DA CUNHA, 183, PLANALTO, BELO HORIZONTE, MG, BRASIL"
"Lá Ele Bar","https://s2-g1.glbimg.com/koWY4qg2Q6VrB-Yp4tPOQIdvdx8=/0x0:3500x2333/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/U/h/448aMJSoq8uYi0LeYUQw/laele-peitimmoiado-bh-2025-rodneycosta-unibh-9100.jpg","Peitin Moído","Maçã de peito cozida com legumes, acompanhada de farofa da casa, LAELEgrete e pão","AVENIDA GENERAL CARLOS GUEDES, 165, PLANALTO, BELO HORIZONTE, MG, BRASIL"
"Parada Do Sabor","https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15045053/paradadosabor_coracaodoparada_bh_2025_isaquerodrigues_unibh-8637-scaled.jpg","Coração do Parada","Coração de boi recheado com: bacon, linguiça, cenoura. Acompanha farofa, batata bolinha assada e molho glace.","AVENIDA GENERAL CARLOS GUEDES, 346, PLANALTO, BELO HORIZONTE, MG, BRASIL"
"Prosa Boa","https://s2-g1.glbimg.com/KhuaE3fOQG-qYiCPiA3nIrSIg7Q=/0x0:3500x2333/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/c/C/pqpZ1lS5GdYFDtsICLjg/prosaboa-roendoateoosso-bh-2025-rodneycosta-unibh-7476.jpg","ROENDO ATÉ OS OSSOS","COSTELA BOVINA BRASEADA, ACOMPANHADA DE BATATINHAS TEMPERADAS, ANTEPASTO DE AZEITONAS E TOMATINHOS E FAROFA CROCANTE DE BACON","AVENIDA DOUTOR CRISTIANO GUIMARAES, 1480, PLANALTO, BELO HORIZONTE, MG, BRASIL"
"Zé Bolacha","https://comidadibuteco.com.br/wp-content/uploads/2025/03/zebolacha_rabico_bh_2025_isaquerodrigues_unibh-9275-scaled.jpg","Rabicó","Bolinho de costelinha desfiada com requeijão e muçarela, empanada no panko com molho de laranja e mel.","RUA DAS MELANCIAS, 35, VILA CLORIS, BELO HORIZONTE, MG, BRASIL"
"Bar Bendita Baderna","https://s2-g1.glbimg.com/LWkTxL4hx7hIUz9kK5kTEixd9bk=/0x0:3500x2333/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/j/y/IPRENIRluzThbCg8XhSw/benditabaderna-parabenscdb-bh-2025-rodneycosta-unibh-8203.jpg","PARABÉNS CDB","Coxinhas recheadas para todos os gostos, massa de abóbora com recheio de frango com quiabo, massa de mandioca com recheio de carne de lata (suína) e massa de beterraba com recheio de alho poró com queijo canastra.","RUA SILVA FORTES, 47, UNIAO, BELO HORIZONTE, MG, BRASIL"
"Camisola Bar","https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19151142/camisola_costelamineira_bh_2025_rodneycosta_unibh-7449-scaled.jpg","Costela Mineira","Costela de boi cozida na cerveja preta acompanhada com um purê de mandioca com queijo.","RUA LUTHER KING, 242, CIDADE NOVA, BELO HORIZONTE, MG, BRASIL"
"Dona Ju Gastro Bar","https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19152529/donajugastro_ju-elho_bh_2025_rodneycosta_unibh-7719-scaled.jpg","Jú-elhoo","Joelho de porco marinado em especiarias, cozido na cerveja e acompanhado de angu de milho-verde e couve passada no azeite. E ambrósia de sobremesa para comemorar os 25 anos do CDB.","RUA DOS BORGES, 1520, JARDIM VITORIA, BELO HORIZONTE, MG, BRASIL"
"Resenha da Naty","https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15044659/resenhadanaty_trembaumdemasso_bh_2025_isaquerodrigues_unibh-8123-scaled.jpg","TREM BÃO DEMAIS SÔ","Bolinho de linguiça suína, recheado de muçarela e um toque de limão para finalizar.","RUA GONCALVES LEDO, 288, CACHOEIRINHA, BELO HORIZONTE, MG, BRASIL"
"Spetim","https://s2-g1.glbimg.com/dUJnYHglyuslA4COf5nuV8Y53Jw=/0x0:3500x2333/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/J/Y/sl5H52QVS4x4svTpTXPQ/spetim-tanabocadopovo-bh-2025-rodneycosta-unibh-7565.jpg","Tá na boca do povo","Língua de boi, fatiada bem fininha, num encorpado molho de tomate e manjericão, acompanhada por um mineirissimo angu de moinho dágua e mostarda passadinha na panela.","RUA ILACIR PEREIRA LIMA, 518, SILVEIRA, BELO HORIZONTE, MG, BRASIL"
"Andrade's Beer","https://s2-g1.glbimg.com/9tZo4O55GproBN850s0kmjObuPE=/0x0:3500x2333/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/u/L/mhMzAoRguomqPhPKrISw/andradesbeer-choracanelinha-bh-2025-rodneycosta-unibh-9247.jpg","Chora canelinha","Ossobuco com purê de batatas acompanhado de torradas de Alho-poró","RUA DONA GENI, 32, VENDA NOVA, BELO HORIZONTE, MG, BRASIL"
"Avalanche Espeteria","https://s2-g1.glbimg.com/jCgQKB1Vb-9qJC86R2Lwxx12doU=/0x0:3500x2333/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/N/p/Qjcq5ySjmWTLL9asap8w/avalanche-milaomaluco-bh-2025-rodneycosta-unibh-8764.jpg","Milão Maluco","Ossobuco cozido ao molho tradicional, acompanhado com purê de batata e farofinha da casa.","RUA DOUTOR ALVARO CAMARGOS, 1113, SAO JOAO BATISTA, BELO HORIZONTE, MG, BRASIL"
"Bar da Cintia","https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19142858/bardacinthia_linguabeba_bh_2025_rodneycosta_unibh-8675-scaled.jpg","Língua bêbada","Língua marinada na cerveja caracu, cheiro verde, mandioca cozida na manteiga de garrafa","RUA PASTOR RUI FRANCO, 257, SAO JOAO BATISTA, BELO HORIZONTE, MG, BRASIL"
"Bar da Fia","https://s2-g1.glbimg.com/g-QOQzoZsRfaUgjJ7Ve8PhbFRCE=/0x0:3500x2333/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/a/Z/FaNHULQFKaDFVBb4LRMg/bardafia-linguanorabo-bh-2025-rodneycosta-unibh-7352.jpg","Língua no rabo","Língua bovina com rabada servida com polenta, quiabo frito e agrião.","RUA DOS ASTECAS, 2722, SANTA MONICA, BELO HORIZONTE, MG, BRASIL"
"Bar da Lu","https://s2-g1.glbimg.com/ib_WKyxdoA2ZOa4U5NoXzJCFQI8=/0x0:3500x2333/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/Y/u/DFYMQORBa9JkrxiotSGg/bardalu-barrilmineiroso-bh-2025-rodneycosta-unibh-8734.jpg","Barril Mineiro Sô","Ossobuco marinado com ervas finas e vinho tinto acompanhado de polenta coberta com queijo parmesão e muçarela gratinado, crisp de mostarda e torresminho pururuca.","RUA GERALDA MARINHO, 41, SÃO JOÃO BATISTA, BELO HORIZONTE, MG, BRASIL"
"Dona Suica","https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15045850/donasuica_pratodacasa_bh_2025_mylenaizis_unibh-9180-scaled.jpg","Prata da Casa","Sobrecoxa desossada e assada, polenta de milho verde com Bacon e queijo e farofinha com quiabo grelhado.","RUA JOAO SAMAHA, 390, SAO JOAO BATISTA, BELO HORIZONTE, MG, BRASIL"
