CDB_ID,NOME,ENDERECO,IMAGEM,PETISCO,DESCRICAO
011,DONA DORA,"RUA RIO DE JANEIRO, 1205, CENTRO, BELO HORIZONTE, MG, BRASIL",https://s2-g1.glbimg.com/_ajR7lZ1GL7w7D0U-4FIuoIFESo=/0x0:3500x2333/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/j/Y/FiOXk7QUSDlzaooYgYlA/donadora-boleco-bolodecuteco-bh-2025-rodneycosta-unibh-8708.jpg,Boleco (Bolo di Buteco),"Purê rústico de mandioca com ragú de alcatra, fonduta de queijo canastra e crispy de couve."
012,EMBER BBQ,"RUA SAO ROMAO, 460, SANTO ANTONIO, BELO HORIZONTE, MG, BRASIL",https://s2-g1.glbimg.com/gYST4CTUQziE20eZIrvkBan5FKw=/0x0:3500x2333/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/B/Q/CezNEsSJCTq6gvIjqFzg/embeer-cupimsertanejo-bh-2025-isaquerodrigues-unibh-7851.jpg,Cupim Sertanejo,Cupim defumado em lenha de macieira. Servido sobre angú de milho verde com queijo minas acompanhado de couve crispy e pimenta jalapeno.
013,MARINA'S BAR,"RUA JOSE BARONI, 13, PARAISO, BELO HORIZONTE, MG, BRASIL",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19154422/marinas_essetremvoa_bh_2025_isaquerodrigues_unibh-7376-scaled.jpg,Estrem voa!,"Asinha de frango frita, marinada na laranja e ervas ,coberta de queijo muçarela acompanhada com creme de alho poró e gengibre picante e fritas."
014,ORATÓRIO BAR,"AVENIDA BRASIL, 161, SANTA EFIGENIA, BELO HORIZONTE, MG, BRASIL",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19155430/oratoriobar_costeladeadao_bh_2025_amandacantanhede_unibh-8929-scaled.jpg,Costela de Adão,"Costelinha de porco assada; finalizada com molho barbecue e guarnecida em cama de farofa crocante , acompanhada de uma maçã caramelizada"
015,PÉ DE CANA,"RUA FLORIDA, 21, SION, BELO HORIZONTE, MG, BRASIL",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19155918/pedecana_eprata_bh_2025_isaquerodrigues_unibh-7883-scaled.jpg,É PRAAATA!!!É PRAAAATA!!,"Bolo suíno recheado de queijo, acompanhado de molho de tomate ,cobertura de muçarela e confetes de tomate , batatinha e cebola assadas,"
016,POIZÉ BAR E PETISQUEIRA,"RUA PIUM I, 686, CARMO, BELO HORIZONTE, MG, BRASIL",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15045021/poize_aparecidinhodoze_bh_2025_rodneycosta_unibh-7767-2048x1365.jpg,Aparecidinho do Zé,Versão desconstruída do escondidinho. Creme de moranga com carne do sertão e cebola. Acompanha molho de cebola roxa.
017,QUINTEIRO BAR E RESTAURANTE,"RUA SALINAS, 1008, FLORESTA, BELO HORIZONTE, MG, BRASIL",https://s2-g1.glbimg.com/6vuiJ7I5pjA1CNjRwF5F7D6q628=/0x0:3500x2333/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/F/y/nFk9sPTzOic89HmUFAWg/quinteirobar-voucomermeubolo-bh-2025-isaquerodrigues-unibh-8588.jpg,Vou comer seu bolo,"Massa de fubá com queijo, patinho desfiado com molho, tártara de tomate e cream cheese caseiro temperado."
018,RESTAURANTE JORGE AMERICANO,"AVENIDA AUGUSTO DE LIMA, 744, CENTRO, BELO HORIZONTE, MG, BRASIL",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15044742/jorgeamericano_rabadadojorge__bh_2025_isaquerodrigues_unih-7967-scaled.jpg,Rabada do Jorge Americano,"Rabada ensopada, servido com batata bolinha. Acompanhada de farofa de torresmo e vinagrete de agrião."
019,XAMBAR,"AVENIDA AUGUSTO DE LIMA, 233, CENTRO, BELO HORIZONTE, MG, BRASIL",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19172132/xambar_minerimorienta_bh_2025_isaquerodrigues_unibh-7522-scaled.jpg,Mineirin Oriental,"Miolo de acém assado na pressão, acompanhado de mandioca cozida na manteiga e farofa de banana."
020,AMARELIM DO PRADO,"AVENIDA FRANCISCO SA, 658, PRADO, BELO HORIZONTE, MG, BRASIL",https://s2-g1.glbimg.com/A1sXFeWp6YE12bpInykstKTPpHc=/0x0:3500x2333/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/a/S/Xdxhu9TjeTSCBS0id8FA/amarelimdoprado-tremderocas-bh-2025-isaquerodrigues-unibh-7527.jpg,Trem de roças,"Bochecha de porco na cama de angu mole, pesto de horta, mandioca e agrião. Acompanha pão e patê de fígado de galinha."
021,BAR E RESTAURANTE BOM SABOR,"RUA JAVA, 386, NOVA SUISSA, BELO HORIZONTE, MG, BRASIL",https://s2-g1.glbimg.com/21Zoe54QmFM6g5OmqY2t3ic8LL4=/0x0:3500x2333/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2024/H/O/rBY68xRPCVzPoSqA4ayQ/barrestbomsabor-frangoatolado-bh-2024-rodney-costa-7607-1-.jpg,Bora Comemorar,"FRALDINHA DE BOI RECHEADA COM CARNE MOIDA DE PORCO, BACOM E MUSSARELA ASSADO NA CHURRASQUEIRA. ACOMPANHADO DE FAROFA E VINAGRETE"
