ID_ATIV_ECON_ESTABELECIMENTO,ID_CDB,CNAE_PRINCIPAL,DATA_INICIO_ATIVIDADE,IND_POSSUI_ALVARA,ENDERECO_COMPLETO,NOME,NOME_FANTASIA,GEOMETRIA,COORDS,COORD_GEO
502564,000,5611204.0,2024-11-28,NÃO,"RUA LAVRAS, 417, SAO PEDRO, BELO HORIZONTE, MG, BRASIL",58.275.209 LARISSA MARTINS TEIXEIRA,ESTABELECIMENTO SEM NOME,POINT (611318.62 7794404.97),"(-19.9458208, -43.9376125)","(-19.9436219, -43.9362471)"
502894,000,5611201.0,2024-11-30,NÃO,"RUA EPAMINONDAS DE MOURA E SILVA, 345, PLANALTO, BELO HORIZONTE, MG, BRASIL",58.293.536 GEORGE CARVALHO MIGUEL,ESTABELECIMENTO SEM NOME,POINT (610372.95 7806431.96),"(-19.8355843, -43.9461371)","(-19.8350087, -43.9460019)"
503556,000,5611201.0,2024-12-03,SIM,"RUA ATACARAMBU, 254, SAO GERALDO, BELO HORIZONTE, MG, BRASIL",QUINTAL DO GUEDES COMERCIO LTDA,QUINTAL DO GUEDES,POINT (615009.53 7799452.97),"(-19.8976101, -43.9012907)","(-19.897798, -43.9012969)"
503869,000,5611204.0,2024-12-05,SIM,"AVENIDA OTACILIO NEGRAO DE LIMA, 6528, BANDEIRANTES, BELO HORIZONTE, MG, BRASIL",PAMPETTOS COMERCIO E ENTRETENIMENTO LTDA,PAMPETTO'S,POINT (605249.59 7804050.11),"(-19.8591396, -43.9945948)","(-19.8568121, -43.9947858)"
503870,000,5611204.0,2024-12-19,NÃO,"AVENIDA OTACILIO NEGRAO DE LIMA, 6528, BANDEIRANTES, BELO HORIZONTE, MG, BRASIL",PAMPETTOS COMERCIO E ENTRETENIMENTO LTDA,PAMPETTOS,POINT (605249.59 7804050.11),"(-19.8591396, -43.9945948)","(-19.8568121, -43.9947858)"
503871,000,5611204.0,2024-12-19,NÃO,"AVENIDA OTACILIO NEGRAO DE LIMA, 6528, BANDEIRANTES, BELO HORIZONTE, MG, BRASIL",PAMPETTOS COMERCIO E ENTRETENIMENTO LTDA,PAMPETTO'S,POINT (605249.59 7804050.11),"(-19.8591396, -43.9945948)","(-19.8568121, -43.9947858)"
503872,000,5611204.0,2024-12-19,NÃO,"AVENIDA OTACILIO NEGRAO DE LIMA, 6528, BANDEIRANTES, BELO HORIZONTE, MG, BRASIL",PAMPETTOS COMERCIO E ENTRETENIMENTO LTDA,PAMPETTO'S,POINT (605249.59 7804050.11),"(-19.8591396, -43.9945948)","(-19.8568121, -43.9947858)"
503883,000,5611201.0,2024-12-05,NÃO,"RUA SARAH CARVALHO MACHADO, 53, CEU AZUL, BELO HORIZONTE, MG, BRASIL",58.353.433 JOAO PAULO CORREIA DE OLIVEIRA,ESTABELECIMENTO SEM NOME,POINT (604989.34 7808332.71),"(-19.8174201, -43.9995636)","(-19.8181308, -43.997514)"
500290,000,5611205.0,2024-11-18,SIM,"AVENIDA GUARAPARI, 99, SANTA AMELIA, BELO HORIZONTE, MG, BRASIL",HYJ2 GASTRO ENTRETENIMENTO LTDA,RECANTO VOVO TELA,POINT (607089.10 7805352.10),"(-19.8460286, -43.9765992)","(-19.8449482, -43.9772946)"
500602,000,5611204.0,2024-11-19,SIM,"RUA CEARA, 1560, SAVASSI, BELO HORIZONTE, MG, BRASIL",ANICCA EMPREENDIMENTOS LTDA,ESTABELECIMENTO SEM NOME,POINT (612047.76 7795331.52),"(-19.9365832, -43.9296034)","(-19.9352085, -43.9293368)"
